time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.4200000000000001,-0.01394607591540769,-0.00011766829943243783,1.6448622958150747,6.282778305927156,0.04717732526483154,0.0,-0.1356648031875448,-0.0011584046998446766,5.420021259544096,-0.0020065908336241193,0.2289767633978987,0.0,877.4531,878.8164,4.655505,0.002239341
0.4400000000000001,-0.016864469190238353,-0.00014260390920913316,1.7556434858731282,6.282738178279335,0.05181479430264613,0.0,-0.1561745242955216,-0.0013351562778248578,5.658097746261257,-0.002097901849424386,0.2397409419412184,0.0,877.4531,878.8164,4.655505,0.002239341
0.46000000000000013,-0.020211873937648464,-0.0001712368194595821,1.8711593732633545,6.282696224374909,0.05666732588499013,0.0,-0.17856595044548929,-0.0015281347472200358,5.893490992761364,-0.0021888145940049965,0.2504845673553467,0.0,877.4531,878.8164,4.655505,0.002239341
0.48000000000000015,-0.02402656138040162,-0.00020389679085775582,1.991355358652889,6.282652452179473,0.06173449875859571,0.0,-0.2029027938298262,-0.0017378623925973376,6.1261075461920935,-0.002279329162629129,0.2612066498488689,0.0,877.4531,878.8164,4.655505,0.002239341
0.5000000000000001,-0.028348048914794297,-0.0002409237459435507,2.1161750108000783,6.282606869656739,0.06701587202446913,0.0,-0.22924595960944127,-0.0019648331159821497,6.355857668526857,-0.0023694459455622123,0.27190620768050694,0.0,877.4531,878.8164,4.655505,0.002239341
0.5200000000000001,-0.033217043894880165,-0.00028266719927445534,2.245560141388749,6.282559484762638,0.07251098530477584,0.0,-0.2576535383991453,-0.002209512217108319,6.582655390340193,-0.0024591656253865027,0.28258226750583415,0.0,877.4531,878.8164,4.655505,0.002239341
0.5400000000000001,-0.0386753873766737,-0.0003294856839998283,2.3794508808125987,6.282510305439478,0.07821935891647147,0.0,-0.2881808097802083,-0.0024723362554289756,6.806418552044773,-0.002548489173632916,0.29323386471739843,0.0,877.4531,878.8164,4.655505,0.002239341
0.5600000000000002,-0.04476599803936783,-0.00038174617646300044,2.517785754658745,6.28245933961016,0.08414049405153357,0.0,-0.32088025648920526,-0.0027537129908882367,7.02706883256987,-0.0026374178467520842,0.30386004377800785,0.0,877.4531,878.8164,4.655505,0.002239341
0.5800000000000002,-0.05153281649295534,-0.00043982352037181296,2.6605017606395562,6.282406595172478,0.09027387296366207,0.0,-0.35580158886954566,-0.003054021399993014,7.244531765511246,-0.0027259531814489537,0.3144598585469644,0.0,877.4531,878.8164,4.655505,0.002239341
0.6000000000000002,-0.059020750172785755,-0.0005040998520044591,2.807534445722982,6.282352079993515,0.09661895916129204,0.0,-0.39299177911349653,-0.0033736117632716,7.458736742831309,-0.002814096989407382,0.3250323725990062,0.0,877.4531,878.8164,4.655505,0.002239341
